channel,mean_abs_amp_uv,intensity_pct,dist_from_f4_m,dist_from_f4_cm
CP1,9.1056,30,0.1431856859549166,14.31856859549166
CP1,9.6556,40,0.1431856859549166,14.31856859549166
CP1,29.5143,50,0.1431856859549166,14.31856859549166
Pz,14.1645,10,0.15079549219154395,15.079549219154394
Pz,10.5414,20,0.15079549219154395,15.079549219154394
Pz,9.0649,30,0.15079549219154395,15.079549219154394
Pz,9.356,40,0.15079549219154395,15.079549219154394
Pz,9.7796,50,0.15079549219154395,15.079549219154394
P3,14.8353,10,0.17010172116416106,17.010172116416104
P3,11.2178,20,0.17010172116416106,17.010172116416104
P3,10.3344,30,0.17010172116416106,17.010172116416104
P3,11.1314,40,0.17010172116416106,17.010172116416104
P3,1405.3354,50,0.17010172116416106,17.010172116416104
P7,14.0627,10,0.18341241118719312,18.341241118719314
P7,10.6622,20,0.18341241118719312,18.341241118719314
P7,9.1749,30,0.18341241118719312,18.341241118719314
P7,30.2749,40,0.18341241118719312,18.341241118719314
P7,2755.6321,50,0.18341241118719312,18.341241118719314
O1,18.4229,10,0.18823051808779576,18.823051808779574
O1,31.6992,20,0.18823051808779576,18.823051808779574
O1,1163.5386,30,0.18823051808779576,18.823051808779574
O1,2410.4065,40,0.18823051808779576,18.823051808779574
O1,3381.348,50,0.18823051808779576,18.823051808779574
Oz,14.9701,10,0.1788507585591965,17.88507585591965
Oz,11.6128,20,0.1788507585591965,17.88507585591965
Oz,10.0612,30,0.1788507585591965,17.88507585591965
Oz,524.8555,40,0.1788507585591965,17.88507585591965
Oz,3853.7415,50,0.1788507585591965,17.88507585591965
O2,15.3288,10,0.1709321870614192,17.09321870614192
O2,11.8804,20,0.1709321870614192,17.09321870614192
O2,10.2004,30,0.1709321870614192,17.09321870614192
O2,988.7262,40,0.1709321870614192,17.09321870614192
O2,4548.1031,50,0.1709321870614192,17.09321870614192
P4,13.4981,10,0.13384972530509728,13.384972530509728
P4,10.391,20,0.13384972530509728,13.384972530509728
P4,9.5503,30,0.13384972530509728,13.384972530509728
P4,286.3311,40,0.13384972530509728,13.384972530509728
P4,3290.5024,50,0.13384972530509728,13.384972530509728
P8,16.5468,10,0.13621212537751548,13.621212537751548
P8,13.4556,20,0.13621212537751548,13.621212537751548
P8,20.9066,30,0.13621212537751548,13.621212537751548
P8,2981.4259,40,0.13621212537751548,13.621212537751548
P8,7619.6175,50,0.13621212537751548,13.621212537751548
CP6,14.8105,10,0.10566476039139065,10.566476039139065
CP6,11.8395,20,0.10566476039139065,10.566476039139065
CP6,228.3511,30,0.10566476039139065,10.566476039139065
CP6,4039.2197,40,0.10566476039139065,10.566476039139065
CP6,9060.7979,50,0.10566476039139065,10.566476039139065
CP2,15.6034,10,0.11378295054695145,11.378295054695146
CP2,13.0839,20,0.11378295054695145,11.378295054695146
CP2,1290.6494,30,0.11378295054695145,11.378295054695146
CP2,5228.3545,40,0.11378295054695145,11.378295054695146
CP2,9912.1451,50,0.11378295054695145,11.378295054695146
Cz,12.9738,10,0.1010256619940201,10.10256619940201
Cz,10.3799,20,0.1010256619940201,10.10256619940201
Cz,104.9616,30,0.1010256619940201,10.10256619940201
Cz,2623.9744,40,0.1010256619940201,10.10256619940201
Cz,6220.157,50,0.1010256619940201,10.10256619940201
C4,16.79,10,0.07073560756012491,7.073560756012491
C4,313.621,20,0.07073560756012491,7.073560756012491
C4,5817.1157,30,0.07073560756012491,7.073560756012491
C4,11819.328,40,0.07073560756012491,7.073560756012491
C4,15792.7464,50,0.07073560756012491,7.073560756012491
T8,16.7245,10,0.09187821012459918,9.187821012459917
T8,14.1569,20,0.09187821012459918,9.187821012459917
T8,3183.9847,30,0.09187821012459918,9.187821012459917
T8,9181.5711,40,0.09187821012459918,9.187821012459917
T8,15970.681,50,0.09187821012459918,9.187821012459917
FT10,14.8988,10,0.10479598162916363,10.479598162916364
FT10,16.8414,20,0.10479598162916363,10.479598162916364
FT10,4428.0787,30,0.10479598162916363,10.479598162916364
FT10,10961.3499,40,0.10479598162916363,10.479598162916364
FT10,17872.3002,50,0.10479598162916363,10.479598162916364
FC6,16.6619,10,0.04708059127942214,4.708059127942215
FC6,351.4412,20,0.04708059127942214,4.708059127942215
FC6,6486.7271,30,0.04708059127942214,4.708059127942215
FC6,13616.5544,40,0.04708059127942214,4.708059127942215
FC6,16736.489,50,0.04708059127942214,4.708059127942215
FC2,62.552,10,0.05010870449353086,5.010870449353086
FC2,2865.2441,20,0.05010870449353086,5.010870449353086
FC2,8979.9551,30,0.05010870449353086,5.010870449353086
FC2,13324.3041,40,0.05010870449353086,5.010870449353086
FC2,15391.1497,50,0.05010870449353086,5.010870449353086
F4,89.3526,10,0.0,0.0
F4,10964.2648,20,0.0,0.0
F4,19621.9629,30,0.0,0.0
F4,22333.9128,40,0.0,0.0
F4,23968.6311,50,0.0,0.0
F8,17.3398,10,0.05776440832571559,5.776440832571559
F8,4487.827,20,0.05776440832571559,5.776440832571559
F8,14320.6242,30,0.05776440832571559,5.776440832571559
F8,19798.5817,40,0.05776440832571559,5.776440832571559
F8,21843.5543,50,0.05776440832571559,5.776440832571559
Fp2,17.0181,10,0.060926706282384904,6.092670628238491
Fp2,5630.6522,20,0.060926706282384904,6.092670628238491
Fp2,15918.6951,30,0.060926706282384904,6.092670628238491
Fp2,21836.41,40,0.060926706282384904,6.092670628238491
Fp2,24547.0841,50,0.060926706282384904,6.092670628238491
