condition,epoch_index,band,power_type,roi,value
Pre,11,low_gamma,relative,right_motor,0.007326529101707612
Pre,12,alpha,absolute,left_motor,2.0600974519598215e-11
Pre,12,alpha,relative,left_motor,0.5446531685290678
Pre,12,beta,absolute,left_motor,2.9908841024326205e-12
Pre,12,beta,relative,left_motor,0.0790736623426936
Pre,12,low_gamma,absolute,left_motor,5.082775709701383e-13
Pre,12,low_gamma,relative,left_motor,0.013437956017943908
Pre,12,alpha,absolute,right_motor,2.828724578578006e-11
Pre,12,alpha,relative,right_motor,0.6072683929127289
Pre,12,beta,absolute,right_motor,3.3969828144239833e-12
Pre,12,beta,relative,right_motor,0.0729261629106506
Pre,12,low_gamma,absolute,right_motor,3.60642439799538e-13
Pre,12,low_gamma,relative,right_motor,0.0077422438540582575
Pre,13,alpha,absolute,left_motor,2.4916121289532184e-11
Pre,13,alpha,relative,left_motor,0.6258474926056904
Pre,13,beta,absolute,left_motor,2.6801263863967545e-12
Pre,13,beta,relative,left_motor,0.06731988335188634
Pre,13,low_gamma,absolute,left_motor,5.071734880510757e-13
Pre,13,low_gamma,relative,left_motor,0.012739272382102271
Pre,13,alpha,absolute,right_motor,2.8180616702516646e-11
Pre,13,alpha,relative,right_motor,0.6623084422912755
Pre,13,beta,absolute,right_motor,2.8833395425224414e-12
Pre,13,beta,relative,right_motor,0.06776502236142819
Pre,13,low_gamma,absolute,right_motor,2.9677242113684626e-13
Pre,13,low_gamma,relative,right_motor,0.00697482535719674
Pre,14,alpha,absolute,left_motor,2.66662149686602e-11
Pre,14,alpha,relative,left_motor,0.5595956627529739
Pre,14,beta,absolute,left_motor,3.870609475346215e-12
Pre,14,beta,relative,left_motor,0.0812254861501678
Pre,14,low_gamma,absolute,left_motor,3.911123205572877e-13
Pre,14,low_gamma,relative,left_motor,0.008207567459061309
Pre,14,alpha,absolute,right_motor,3.0978359209553854e-11
Pre,14,alpha,relative,right_motor,0.6056195784204582
Pre,14,beta,absolute,right_motor,3.0220886330236985e-12
Pre,14,beta,relative,right_motor,0.059081116320602894
Pre,14,low_gamma,absolute,right_motor,2.3739978559434016e-13
Pre,14,low_gamma,relative,right_motor,0.004641109527337748
Pre,15,alpha,absolute,left_motor,2.5701084991201165e-11
Pre,15,alpha,relative,left_motor,0.6588270664539119
Pre,15,beta,absolute,left_motor,3.892901004057771e-12
Pre,15,beta,relative,left_motor,0.09979145041452209
Pre,15,low_gamma,absolute,left_motor,5.002913008499449e-13
Pre,15,low_gamma,relative,left_motor,0.012824573368175777
Pre,15,alpha,absolute,right_motor,2.811410019429344e-11
Pre,15,alpha,relative,right_motor,0.675436067920674
Pre,15,beta,absolute,right_motor,3.6634603121251705e-12
Pre,15,beta,relative,right_motor,0.08801395780425962
Pre,15,low_gamma,absolute,right_motor,2.818646695271717e-13
Pre,15,low_gamma,relative,right_motor,0.006771746659344853
Pre,16,alpha,absolute,left_motor,2.749959176750235e-11
Pre,16,alpha,relative,left_motor,0.5682554259748712
Pre,16,beta,absolute,left_motor,3.471507420540806e-12
Pre,16,beta,relative,left_motor,0.07173571683218892
Pre,16,low_gamma,absolute,left_motor,9.441813505223473e-13
Pre,16,low_gamma,relative,left_motor,0.019510696015955314
Pre,16,alpha,absolute,right_motor,3.024364224055537e-11
Pre,16,alpha,relative,right_motor,0.6076785226594582
Pre,16,beta,absolute,right_motor,3.8006909013854126e-12
Pre,16,beta,relative,right_motor,0.07636640500071992
Pre,16,low_gamma,absolute,right_motor,5.225584797163336e-13
Pre,16,low_gamma,relative,right_motor,0.010499646915257349
