condition,epoch_index,band,summary_type,value
Pre,59,theta,anterior_posterior,0.2491122512818887
Pre,60,theta,within_left,0.27558296577827085
Pre,60,theta,within_right,0.44721087604539395
Pre,60,theta,interhemispheric,0.23698192116661854
Pre,60,theta,anterior_posterior,0.33918217512204196
Pre,61,theta,within_left,0.25926366578440674
Pre,61,theta,within_right,0.32901489107853416
Pre,61,theta,interhemispheric,0.3478744191574881
Pre,61,theta,anterior_posterior,0.3267061974536405
Pre,62,theta,within_left,0.14589953456370414
Pre,62,theta,within_right,0.1592266459878189
Pre,62,theta,interhemispheric,0.20352110482253427
Pre,62,theta,anterior_posterior,0.16142579207206728
Pre,63,theta,within_left,0.4114773227487641
Pre,63,theta,within_right,0.25561517076393175
Pre,63,theta,interhemispheric,0.35289190499688533
Pre,63,theta,anterior_posterior,0.3065374169404989
Pre,64,theta,within_left,0.31650600081075525
Pre,64,theta,within_right,0.33591688641599604
Pre,64,theta,interhemispheric,0.2916343848207765
Pre,64,theta,anterior_posterior,0.30790583207816197
Pre,65,theta,within_left,0.3600137360905826
Pre,65,theta,within_right,0.1587791417342072
Pre,65,theta,interhemispheric,0.27476011029020647
Pre,65,theta,anterior_posterior,0.22907983548593716
Pre,66,theta,within_left,0.2638149728905148
Pre,66,theta,within_right,0.38098584554945714
Pre,66,theta,interhemispheric,0.423108778356595
Pre,66,theta,anterior_posterior,0.2823216713308443
Pre,67,theta,within_left,0.13728143830066042
Pre,67,theta,within_right,0.18290939180469365
Pre,67,theta,interhemispheric,0.1303800414025341
Pre,67,theta,anterior_posterior,0.17890741605251137
Pre,68,theta,within_left,0.39988238111101554
Pre,68,theta,within_right,0.3476654259645819
Pre,68,theta,interhemispheric,0.3389013779710442
Pre,68,theta,anterior_posterior,0.34929684131687133
Pre,69,theta,within_left,0.17489830633686457
Pre,69,theta,within_right,0.14735416323595485
Pre,69,theta,interhemispheric,0.16172144389058707
Pre,69,theta,anterior_posterior,0.1362690433404435
Pre,70,theta,within_left,0.11184508594291921
Pre,70,theta,within_right,0.12356847092163954
Pre,70,theta,interhemispheric,0.08301668723815271
Pre,70,theta,anterior_posterior,0.13230673133979098
Pre,71,theta,within_left,0.19386225136510812
